ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price
KXPRESVISIT-26-UKR,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 15:27:39.127666+00:00,0.21
KXSECSTATEVISIT-26-RUS,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-15 15:31:21.772688+00:00,0.66
KXUKRAINERESIGN-26,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 23:05:23.485782+00:00,0.24
KXUKRIMPEACH-26,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 18:57:22.079943+00:00,0.11
KXWLEADER-25-VP,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 08:08:06.146376+00:00,0.84
KXELECTUKRAINE-26,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 08:19:42.290464+00:00,0.43
KXFRIDMAN-26JAN01-VP,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4
KXMARALAGO-26-VZ,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-17 09:33:41.337778+00:00,0.16
KXPRESVISIT-26-RU,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 08:17:57.412874+00:00,0.32
KXPRESVISIT-26-UKR,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-19 15:27:39.127666+00:00,0.21
KXSECSTATEVISIT-26-RUS,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71
KXUKRAINERESIGN-26,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 08:57:14.474209+00:00,0.24
KXUKRIMPEACH-26,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 08:54:49.019648+00:00,0.12
KXWLEADER-25-VP,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 11:48:28.821253+00:00,0.84
KXELECTUKRAINE-26,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 08:19:42.290464+00:00,0.43
KXFRIDMAN-26JAN01-VP,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4
KXMARALAGO-26-VZ,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 22:07:44.098391+00:00,0.18
KXPRESVISIT-26-RU,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 22:28:39.396610+00:00,0.33
KXPRESVISIT-26-UKR,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 22:41:35.221342+00:00,0.18
KXSECSTATEVISIT-26-RUS,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71
KXUKRAINERESIGN-26,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 08:57:14.474209+00:00,0.24
