id,token_id,outcome_index,outcome_name,outcome_slug,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
506731,2.00431E+76,0,Yes,yes,2025-03-27 00:00:00+00:00,2025_03_26_close_1700_PT,2025-03-26 17:00:00-07:00,2025-03-25 21:56:56+00:00,0.001,2025-03-25 14:56:56-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-27 12:00:00+00:00,2025_03_27_open_0500_PT,2025-03-27 05:00:00-07:00,2025-03-27 11:38:57+00:00,0.001,2025-03-27 04:38:57-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-28 00:00:00+00:00,2025_03_27_close_1700_PT,2025-03-27 17:00:00-07:00,2025-03-27 11:38:57+00:00,0.001,2025-03-27 04:38:57-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-28 12:00:00+00:00,2025_03_28_open_0500_PT,2025-03-28 05:00:00-07:00,2025-03-27 11:38:57+00:00,0.001,2025-03-27 04:38:57-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-29 00:00:00+00:00,2025_03_28_close_1700_PT,2025-03-28 17:00:00-07:00,2025-03-28 13:06:04+00:00,0.001,2025-03-28 06:06:04-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-29 12:00:00+00:00,2025_03_29_open_0500_PT,2025-03-29 05:00:00-07:00,2025-03-29 11:42:28+00:00,0.001,2025-03-29 04:42:28-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-30 00:00:00+00:00,2025_03_29_close_1700_PT,2025-03-29 17:00:00-07:00,2025-03-29 11:42:28+00:00,0.001,2025-03-29 04:42:28-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-30 12:00:00+00:00,2025_03_30_open_0500_PT,2025-03-30 05:00:00-07:00,2025-03-30 05:21:01+00:00,0.001,2025-03-29 22:21:01-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-31 00:00:00+00:00,2025_03_30_close_1700_PT,2025-03-30 17:00:00-07:00,2025-03-30 05:21:01+00:00,0.001,2025-03-29 22:21:01-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-31 12:00:00+00:00,2025_03_31_open_0500_PT,2025-03-31 05:00:00-07:00,2025-03-31 08:15:55+00:00,0.001,2025-03-31 01:15:55-07:00
506731,2.00431E+76,0,Yes,yes,2025-04-01 00:00:00+00:00,2025_03_31_close_1700_PT,2025-03-31 17:00:00-07:00,2025-03-31 23:20:47+00:00,0.001,2025-03-31 16:20:47-07:00
506732,3.37633E+76,1,No,no,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-08 22:06:23+00:00,0.999,2025-03-08 14:06:23-08:00
506732,3.37633E+76,1,No,no,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-08 22:06:23+00:00,0.999,2025-03-08 14:06:23-08:00
506732,3.37633E+76,1,No,no,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-08 22:06:23+00:00,0.999,2025-03-08 14:06:23-08:00
506732,3.37633E+76,1,No,no,2025-03-19 00:00:00+00:00,2025_03_18_close_1700_PT,2025-03-18 17:00:00-07:00,2025-03-08 22:06:23+00:00,0.999,2025-03-08 14:06:23-08:00
506732,3.37633E+76,1,No,no,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-08 22:06:23+00:00,0.999,2025-03-08 14:06:23-08:00
506732,3.37633E+76,1,No,no,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-08 22:06:23+00:00,0.999,2025-03-08 14:06:23-08:00
506732,3.37633E+76,1,No,no,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-08 22:06:23+00:00,0.999,2025-03-08 14:06:23-08:00
