condition_id,market_id_pm,request_id,prepared_block,init_block,init_tx,init_log_index
0x70f25e1cabea613ed06de9fdf179665e30a26f3315cc0c34aa25204b35550fb3,525453,0x8e847cfd359ce7809326e123d0035069748d469f243996c6a91f4f909a8e39aa,68407656,68407652,0x74dae1e7d92a646a0bf148a4aca34cde3b68bc64de0b292b5e4ad12154440834,217
0xf610e2f30647222cb6f3ca9f19eb9c7f03912d29c50de4491bb4b33999164780,509103,0x58bbe4d3a91cb70cdcba59a12a8f54cc9898900c191d19cf8ab488fe2fde2cad,62788218,62788214,0x4a384a4f4044b650c97beee00c57f2f95772b7d69a826e2d9b0f4d9e13500717,178
0xdf70bc7474097f7c34665be3e97755ec6b99abeb14420d7a4ff785f406beec39,525416,0x4432739b1d0ffd9c4360270ce64403d1037dacbf440ad2b8269d39312a98c171,68407630,68407627,0xf6d81df68f91afecc82a274711bdb94fdf7ed959371fe489a58242cbf60d7014,142
0xc8761147389535d28583a71eab365841f36f1cc7ee689fbd32a384e3879a5b7c,525385,0x7ec4b1685241d439dbf75af74c3c391d209dbca4c3211bea0b7f58a62f1b4ad4,68407629,68407625,0xc54b29eb5d0b93fa64e4044f40cf133b51cb8ded192c6c0cc7eadc4db932b5d8,273
0x6edc6c77c16ef3ba1bcd646159f12f8b8a39528e500dcff95b9220ccfbb75141,507884,0x1436798700d1c49357ed3540df02cb9ad6459e3c5ab3d9902aee247629eb4a5b,62226160,62226155,0x219e5f7f1796c373d82896e9ef1e104ac0aea3c6bb509c7c2b24daa2f985e14c,171
0xfbf04aa6a90f95b9984a94e183ee98afcf9936c5dc13064b0fc3d7de66ff0a82,525371,0xb818c1cbed9f48e4a2fd5ec80996323e18cb3c0d9ea06eeec0c4321a837323bb,68406981,68406976,0x34bb483f67ad3c5089ffa9f133a4af32b5270fa33752ed8e0b19e7b483444699,187
0xbeea0aff752734aa33484711d15695dff9694b2092a8c0ab71fbf2ec74e7fb11,507888,0xa9b9bea9ebc0d95792cf7c8207079f06f4be2963f2605d70524d62936a5d3a67,62226188,62226183,0x579f7eabcee32314da16478bca3c6b25763e3c114ab6e5761b97dfec7e049a03,196
0xa56ac5f70b0a4ac821cfe4ac8ddce319633aef33063546b55b0ad7da3325f207,525365,0x32a98cad7620ec7684d05c673e4aef84bb8cd8d043a50c32fa1452cc6922aeea,68406884,68406881,0x518b4db39bda3c391104ff44c7c63f06d22d1aa6b2b3b55d6d6a7eadfc9b787a,472
0x789b808459ae07b1fb86866ac43c88379d570cad8e622d75e50208db28390c8c,509104,0x68fc9e884593eb3bef88a726ae7b6e06a5eec8428043743f1bda936a764a8058,62788253,62788248,0xf8cddfdbad6c50905523a4189fb8e419f4bfb5d6fc5c7e8dfa0b8c274a72510a,227
0xa5896f61e82824d1823d720f760bdabb028b54647c3a41a8f056b34645843215,525535,0x7dc24a73f1e9459efbb832b18c96bead25e53f2ebbde253ca8567bba170c116c,68608717,68608714,0xb76367c5ff497f0fbff241774fe45a11ace6e1a0f09df4475da744e193065ee9,49
0x5c51ee27231bc5c88b5d2ff75b5b6022612a1ccd7117f4cf04a0c38762c58ad6,525629,0x630d70c6ff517cb46de4c64936c132d04076008175c3f58edb34ae6658ea1a5e,68608714,68608711,0xe45330c30d15c37aa27454e5aaa7087019f4211d401e859a43353d5cad40c551,186
0xbde7cb252ead2a71c66998e33c76cb1a5462d5c5bd970d0adc38c2d9dffdd807,507889,0x024c413caa3b98e0bb573ce39fe6b00b46c72961d50300a303edcde86733125b,62226262,62226257,0xdebd5d40c43012e550627e80e664574e09a65a550c92441660b9c1f948c09d07,239
0xbc67af13da50b8d9282d5f332b8835f8ab039c8f584a78695fddf1450a1c8679,509105,0xd498f8a56f62d7b0edc1dbff9c69d988108d5c55bdc50835965596fe8737509e,62788264,62788259,0x7437ec2abf20c8c3703bc02707e3ab2b8643b3c9b4b6468111e37eb3fbde650a,216
