platform,category,market_key,event_key,status,volume,liquidity_or_oi,created_at,end_date,title,yes_sub_title,no_sub_title,slug
kalshi,direct_housing_data,FRM-22SEP15-T5.80,FRM-22SEP15,finalized,3280.0,1940.0,2022-09-09 06:11:45.871103-07:00,2022-09-15 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.80%?,Above 5.80%,5.80% or below,
kalshi,direct_housing_data,FRM-22APR07-T4.75,FRM-22APR07,finalized,3256.0,1999.0,2022-04-01 06:47:58.164516-07:00,2022-04-07 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 4.75%?,Above 4.75%%,4.75%% or below,
kalshi,direct_housing_data,FRM-22OCT20-T7.20,FRM-22OCT20,finalized,3230.0,2198.0,2022-10-14 06:27:40.260542-07:00,2022-10-20 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 7.20%?,Above 7.20%,7.20% or below,
kalshi,direct_housing_data,FRM-22DEC08-T6.40,FRM-22DEC08,finalized,3201.0,1612.0,2022-12-02 06:33:27.620793-08:00,2022-12-08 06:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.40%?,Above 6.40%,6.40% or below,
kalshi,direct_housing_data,FRM-22OCT06-T7.00,FRM-22OCT06,finalized,3171.0,2206.0,2022-09-30 06:22:47.163514-07:00,2022-10-06 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 7.00%?,Above 7.00%,7.00% or below,
kalshi,direct_housing_data,FRM-22AUG18-T5.10,FRM-22AUG18,finalized,3165.0,2089.0,2022-08-12 06:38:27.835737-07:00,2022-08-18 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.10%?,Above 5.10%,5.10% or below,
kalshi,direct_housing_data,FRM-22OCT13-T7.10,FRM-22OCT13,finalized,3150.0,1996.0,2022-10-08 06:37:25.028669-07:00,2022-10-13 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 7.10%?,Above 7.10%,7.10% or below,
kalshi,direct_housing_data,FRM-22OCT06-T6.95,FRM-22OCT06,finalized,3146.0,3048.0,2022-09-30 06:22:47.163514-07:00,2022-10-06 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.95%?,Above 6.95%,6.95% or below,
kalshi,direct_housing_data,FRM-23MAR30-T6.4,FRM-23MAR30,finalized,3111.0,2655.0,2023-03-24 06:37:34.166434-07:00,2023-03-30 08:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.4%?,Above 6.4%,6.4% or below,
kalshi,direct_housing_data,FRM-22JUL14-T5.30,FRM-22JUL14,finalized,3107.0,3000.0,2022-07-08 06:27:32.675685-07:00,2022-07-14 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.30%?,Above 5.30%%,5.30%% or below,
kalshi,direct_housing_data,FRM-22DEC01-T6.50,FRM-22DEC01,finalized,3089.0,1282.0,2022-11-25 06:24:41.159958-08:00,2022-12-01 06:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.50%?,Above 6.50%,6.50% or below,
kalshi,direct_housing_data,FRMMIN-24SEP26-P6.6,FRMMIN-24SEP26,finalized,3056.0,1372.0,2024-06-20 08:16:01.337094-07:00,2024-08-09 07:00:11.331199-07:00,"Will the 30-year fixed rate mortgage rate reach below 6.6% by September 26, 2024?",Below 6.6%,6.6% or above,
kalshi,direct_housing_data,FRM-22OCT06-T6.85,FRM-22OCT06,finalized,3045.0,2024.0,2022-09-30 06:22:47.163514-07:00,2022-10-06 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.85%?,Above 6.85%,6.85% or below,
kalshi,direct_housing_data,FRM-22DEC15-T6.50,FRM-22DEC15,finalized,3031.0,2286.0,2022-12-12 06:54:56.511984-08:00,2022-12-15 08:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.50%?,Above 6.50%,6.50% or below,
kalshi,direct_housing_data,HOME-21SEP-T710,HOME-21SEP,finalized,2977.0,1722.0,2021-09-30 10:31:02.783038-07:00,2021-10-25 16:00:00-07:00,"Will new U.S. home sales be above 710,000 in September?","Above 710,000","710,000 or below",
kalshi,direct_housing_data,FRM-22JUL21-T5.45,FRM-22JUL21,finalized,2970.0,2790.0,2022-07-15 06:30:57.013390-07:00,2022-07-21 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.45%?,Above 5.45%%,5.45%% or below,
kalshi,direct_housing_data,FRMMAX-24SEP26-P7.0,FRMMAX-24SEP26,finalized,2957.0,1175.0,2024-06-20 08:16:13.713420-07:00,2024-09-26 06:55:00-07:00,"Will the 30-year fixed rate mortgage rate reach above 7.0% by September 26, 2024?",Above 7.0%,7.0% or below,
kalshi,direct_housing_data,FRM-22JUN02-T5.10,FRM-22JUN02,finalized,2924.0,1156.0,2022-05-27 06:16:05.040824-07:00,2022-06-02 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.10%?,Above 5.10%%,5.10%% or below,
kalshi,direct_housing_data,FRM-22SEP22-T6.15,FRM-22SEP22,finalized,2910.0,1384.0,2022-09-16 06:18:57.582817-07:00,2022-09-22 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 6.15%?,Above 6.15%,6.15% or below,
