ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
KXGOVTRECOGSYRIA-25-RU,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-21 11:49:15.686568+00:00,0.07,2025-03-21 04:49:15.686568-07:00
KXMARALAGO-26-VZ,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21,2025-03-08 02:35:32.381174-08:00
KXMOONMAN-31-R,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1,2024-11-30 23:12:28.152982-08:00
KXNOBELPEACE-25-VZEL,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 22:07:44.098391+00:00,0.18,2025-03-20 15:07:44.098391-07:00
KXPRESVISIT-26-RU,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-21 11:32:10.508638+00:00,0.33,2025-03-21 04:32:10.508638-07:00
KXPRESVISIT-26-UKR,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 22:41:35.221342+00:00,0.18,2025-03-20 15:41:35.221342-07:00
KXSECSTATEVISIT-26-RUS,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71,2025-03-20 02:32:59.860002-07:00
KXUKRAINERESIGN-26,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 08:57:14.474209+00:00,0.24,2025-03-20 01:57:14.474209-07:00
KXUKRIMPEACH-26,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 21:31:34.322881+00:00,0.13,2025-03-20 14:31:34.322881-07:00
KXUSAMBNATO-25-APR,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 18:06:21.578923+00:00,0.29,2025-03-20 11:06:21.578923-07:00
KXUSAMBNATO-25-DEC,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,,,
KXUSAMBNATO-25-JUL,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,,,
