ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
KXLEADEROUT-25-VPUT,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-04 09:35:30.020182+00:00,0.01,2025-07-04 02:35:30.020182-07:00
KXMARALAGO-26-VZ,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-03 16:12:45.633080+00:00,0.1,2025-07-03 09:12:45.633080-07:00
KXMENWORLDCUP-26-UA,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,,,
KXMOONMAN-31-R,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-03-28 12:27:09.813063+00:00,0.01,2025-03-28 05:27:09.813063-07:00
KXMUSKVISIT-25-RUS,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-06-27 13:42:01.711547+00:00,0.08,2025-06-27 06:42:01.711547-07:00
KXNOBELPEACE-25-VZEL,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-05 22:55:12.157865+00:00,0.11,2025-07-05 15:55:12.157865-07:00
KXPOPEVISITNEXT-26-UA,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-02 15:44:50.549183+00:00,0.08,2025-07-02 08:44:50.549183-07:00
KXPOPEVISITSECOND-26-UA,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,,,
KXPRESVISIT-26-RU,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-05 16:53:37.331107+00:00,0.13,2025-07-05 09:53:37.331107-07:00
KXPRESVISIT-26-UKR,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-05 23:55:34.845374+00:00,0.11,2025-07-05 16:55:34.845374-07:00
KXSECSTATEVISIT-26-RUS,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-07-05 12:52:06.931814+00:00,0.23,2025-07-05 05:52:06.931814-07:00
KXTIMEDECADE20S-30-VZEL,2025-07-06 00:00:00+00:00,2025_07_05_close_1700_PT,2025-07-05 17:00:00-07:00,2025-06-02 19:56:39.708094+00:00,0.11,2025-06-02 12:56:39.708094-07:00
