exchange,source_slug,market_id,event_group,outcome_index,outcome_name,token_id,synthetic_binary,title,yes_sub_title,no_sub_title,volume,created_at,end_date,resolver_type,resolver_evidence,market_family,predicate,subject,obj,scope,deadline,season,threshold,direction,contract_key,entity_signature,parse_confidence,parse_reason
kalshi,zelensky_suit,KXBILATERALMENTION-25JUN06-NATO,KXBILATERALMENTION-25JUN06,,,,False,What will Trump say during next bilateral meeting with a foreign leader in the Oval Office?,NATO,NATO,13242.0,2025-06-05 18:01:18.417885-07:00,2025-07-16 20:23:45.910361-07:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXBOYCOTTWC-26,KXBOYCOTTWC-26,,,,False,Will any NATO member state boycott the USA World Cup in 2026?,Before 2026,Before 2026,2259.0,2025-04-01 06:15:35.633521-07:00,2026-06-11 07:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,mineral_rights;zelensky_suit,KXELECTUKRAINE-26,KXELECTUKRAINE-26,,,,False,Will Ukraine hold a presidential election before 2026?,Before 2026,Before 2026,111438.0,2025-03-05 08:30:49.987302-08:00,2026-01-01 07:00:00-08:00,,,election,hold_election,,,ukraine_presidential,year:2025,2026,,,election|hold_election|ukraine_presidential|year:2025|2026,election|hold_election|ukraine_presidential|2026,0.86,election template
kalshi,zelensky_suit,KXEUROVISIONTELEVOTE-25-UKR,KXEUROVISIONTELEVOTE-25,,,,False,Who will win the Televote in Eurovision 2025?,Ukraine,Ukraine,0.0,2025-05-15 14:56:04.975108-07:00,2025-12-31 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXFLIGHTSRUSSIA-25,KXFLIGHTSRUSSIA-25,,,,False,Will U.S. direct flights to Russia resume in 2025?,In 2025,In 2025,37136.0,2025-03-18 18:55:27.941249-07:00,2025-12-31 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,mineral_rights;zelensky_suit,KXFRIDMAN-26JAN01-VP,KXFRIDMAN-26JAN01,,,,False,"Will Vladimir Putin go on the Lex Fridman Podcast before Jan 1, 2026?",Vladimir Putin,Vladimir Putin,8995.0,2024-12-02 21:23:56.926902-08:00,2026-01-01 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXFTACOUNTRIES-26-RUS,KXFTACOUNTRIES-26,,,,False,"Will Trump make a new  before Jan 1, 2026?",Russia,Russia,10741.0,2025-05-17 13:05:30.654542-07:00,2026-01-01 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,mineral_rights,KXGOVTRECOGSYRIA-25-RU,KXGOVTRECOGSYRIA-25,,,,False,Will Russia reocgnize the new government of opposition-led government of Syria before Apr 2025?,Russia,Russia,60317.0,2024-12-17 10:07:23.956119-08:00,2025-04-01 05:49:57.981480-07:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXLEADERMEETPOPE-26-VPUT,KXLEADERMEETPOPE-26,,,,False,Who will Pope Leo XIV meet with before 2026?,Vladimir Putin,Vladimir Putin,1402.0,2025-06-18 15:39:15.537975-07:00,2026-01-01 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXLEADEROUT-25-VPUT,KXLEADEROUT-25,,,,False,Vladimir Putin out this year?,Vladimir Putin,Vladimir Putin,4073.0,2025-05-19 08:31:28.775998-07:00,2025-08-01 07:00:00-07:00,,,office_exit,leave_office,vladimir_putin,,,year:2025,,,,office_exit|leave_office|vladimir_putin|year:2025,office_exit|leave_office|vladimir_putin,0.88,office exit template
kalshi,mineral_rights;zelensky_suit,KXMARALAGO-26-VZ,KXMARALAGO-26,,,,False,"Will Volodymyr Zelenskyy be reported to visit Mar-a-Lago before Jan 1, 2026?",Volodymyr Zelenskyy,Volodymyr Zelenskyy,6576.0,2024-12-04 14:02:04.433022-08:00,2026-01-01 07:00:00-08:00,,,leader_contact,visit,volodymyr_zelenskyy,mar_a_lago,,year:2025,,,,leader_contact|visit|volodymyr_zelenskyy|mar_a_lago|year:2025,leader_contact|visit|volodymyr_zelenskyy|mar_a_lago,0.92,leader contact template
kalshi,zelensky_suit,KXMENWORLDCUP-26-UA,KXMENWORLDCUP-26,,,,False,Will the Ukraine win the 2026 Men's World Cup?,Ukraine,Ukraine,10745.0,2025-05-14 11:24:06.529784-07:00,2028-07-18 07:00:00-07:00,,,sports,win,ukraine,,fifa_world_cup,,2026,,,sports|win|ukraine|fifa_world_cup|2026,sports|win|ukraine|fifa_world_cup|2026,0.86,sports outcome template
kalshi,mineral_rights;zelensky_suit,KXMOONMAN-31-R,KXMOONMAN-31,,,,False,Which country will be the next to send humans to the Moon?,Russia,Russia,1494.0,2024-11-27 15:38:20.969040-08:00,2031-01-01 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXMUSKVISIT-25-RUS,KXMUSKVISIT-25,,,,False,What countries will Elon Musk visit this year?,Russia,Russia,213.0,2025-03-18 05:34:11.150579-07:00,2025-12-31 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,mineral_rights;zelensky_suit,KXNOBELPEACE-25-VZEL,KXNOBELPEACE-25,,,,False,Who will win the Nobel Peace Prize?,Volodymyr Zelenskyy,Volodymyr Zelenskyy,103929.0,2025-02-25 07:44:01.250653-08:00,2025-10-10 04:59:46.024250-07:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXPOPEVISITNEXT-26-UA,KXPOPEVISITNEXT-26,,,,False,Which country will the Pope visit next?,Ukraine,Ukraine,2263.0,2025-06-18 15:36:17.896349-07:00,2026-01-01 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXPOPEVISITSECOND-26-UA,KXPOPEVISITSECOND-26,,,,False,Which country will the Pope visit next?,Ukraine,Ukraine,0.0,2025-06-18 19:20:30.062750-07:00,2026-01-01 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,mineral_rights;zelensky_suit,KXPRESVISIT-26-RU,KXPRESVISIT-26,,,,False,Will Trump visit Russia in the first year?,Russia,Russia,203808.0,2024-12-17 10:23:47.012876-08:00,2026-01-01 07:00:00-08:00,,,leader_contact,visit,donald_trump,russia,,period:first_year,,,,leader_contact|visit|donald_trump|russia|period:first_year,leader_contact|visit|donald_trump|russia,0.92,leader contact template
kalshi,mineral_rights;zelensky_suit,KXPRESVISIT-26-UKR,KXPRESVISIT-26,,,,False,Will Trump visit Ukraine in the first year?,Ukraine,Ukraine,23975.0,2024-12-17 10:23:47.012875-08:00,2026-01-01 07:00:00-08:00,,,leader_contact,visit,donald_trump,ukraine,,period:first_year,,,,leader_contact|visit|donald_trump|ukraine|period:first_year,leader_contact|visit|donald_trump|ukraine,0.92,leader contact template
kalshi,mineral_rights;zelensky_suit,KXSECSTATEVISIT-26-RUS,KXSECSTATEVISIT-26,,,,False,Will the Secretary of State visit Russia before 2026?,Russia,Russia,8172.0,2025-02-25 13:32:22.730495-08:00,2026-01-01 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXTIMEDECADE20S-30-VZEL,KXTIMEDECADE20S-30,,,,False,Who will Time name as Person of the Decade?,Volodymyr Zelenskyy,Volodymyr Zelenskyy,797.0,2025-05-29 19:02:35.850153-07:00,2030-01-31 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,zelensky_suit,KXTPSUKR-25,KXTPSUKR-25,,,,False,Will Temporary Protected Status for Ukraine end in 2025?,In 2025,In 2025,11557.0,2025-03-18 18:34:52.385787-07:00,2025-12-31 07:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
kalshi,mineral_rights;zelensky_suit,KXUKRAINERESIGN-26,KXUKRAINERESIGN-26,,,,False,"Will Volodymyr Zelenskyy resign before Jan 1, 2026?",Before 2026,Before 2026,200256.0,2025-03-05 08:31:39.586364-08:00,2026-01-01 07:00:00-08:00,,,office_exit,resign,volodymyr_zelenskyy,,,year:2025,,,,office_exit|resign|volodymyr_zelenskyy|year:2025,office_exit|resign|volodymyr_zelenskyy,0.88,office exit template
